"Sample","Library_Flowcell_Lane","Raw reads","Raw data","Effective(%)","Error(%)","Q20(%)","Q30(%)","GC(%)","PlateID","Sample_ID"
"A03_4","CKDL240033248-1A_22HW3CLT4_L8",442,66300,100,0.01,97.67,95.66,64.87,"DSP-1001660006536-C","DSP-1001660006536-C-A03"
"A04_4","CKDL240033248-1A_22HW3CLT4_L8",136,20400,100,0.01,97.45,95.16,63.57,"DSP-1001660006536-C","DSP-1001660006536-C-A04"
"A05_4","CKDL240033248-1A_22HW3CLT4_L8",586,87900,100,0.01,97.5,95.19,65.41,"DSP-1001660006536-C","DSP-1001660006536-C-A05"
"A06_4","CKDL240033248-1A_22HW3CLT4_L8",76,11400,100,0.01,97.46,94.47,65.04,"DSP-1001660006536-C","DSP-1001660006536-C-A06"
"A07_4","CKDL240033248-1A_22HW3CLT4_L8",452,67800,100,0.01,97.17,94.99,63.61,"DSP-1001660006536-C","DSP-1001660006536-C-A07"
"A08_4","CKDL240033248-1A_22HW3CLT4_L8",46,6900,100,0.01,97.9,96.55,63.35,"DSP-1001660006536-C","DSP-1001660006536-C-A08"
"A09_4","CKDL240033248-1A_22HW3CLT4_L8",774,116100,100,0.01,97.81,96.12,64.32,"DSP-1001660006536-C","DSP-1001660006536-C-A09"
"A10_4","CKDL240033248-1A_22HW3CLT4_L8",116,17400,100,0.01,97.64,95.67,63.76,"DSP-1001660006536-C","DSP-1001660006536-C-A10"
"A11_4","CKDL240033248-1A_22HW3CLT4_L8",588,88200,100,0.01,97.42,95.1,64.19,"DSP-1001660006536-C","DSP-1001660006536-C-A11"
"A12_4","CKDL240033248-1A_22HW3CLT4_L8",160,24000,100,0.01,97.05,94.88,64.28,"DSP-1001660006536-C","DSP-1001660006536-C-A12"
"B01_4","CKDL240033248-1A_22HW3CLT4_L8",382,57300,100,0.01,97.77,95.89,65.44,"DSP-1001660006536-C","DSP-1001660006536-C-B01"
"B02_4","CKDL240033248-1A_22HW3CLT4_L8",256,38400,100,0.01,97.38,95.21,64.2,"DSP-1001660006536-C","DSP-1001660006536-C-B02"
"B03_4","CKDL240033248-1A_22HW3CLT4_L8",18116798,2717519700,100,0.01,97.63,95.8,64.68,"DSP-1001660006536-C","DSP-1001660006536-C-B03"
"B04_4","CKDL240033248-1A_22HW3CLT4_L8",13045780,1956867000,100,0.01,97.72,95.52,64.35,"DSP-1001660006536-C","DSP-1001660006536-C-B04"
"B05_4","CKDL240033248-1A_22HW3CLT4_L8",14541140,2181171000,100,0.01,97.63,95.78,64.21,"DSP-1001660006536-C","DSP-1001660006536-C-B05"
"B06_4","CKDL240033248-1A_22HW3CLT4_L8",11618352,1742752800,100,0.01,97.56,95.71,65.1,"DSP-1001660006536-C","DSP-1001660006536-C-B06"
"B07_4","CKDL240033248-1A_22HW3CLT4_L8",39531614,5929742100,100,0.01,97.67,95.91,64.22,"DSP-1001660006536-C","DSP-1001660006536-C-B07"
"B08_4","CKDL240033248-1A_22HW3CLT4_L8",31711530,4756729500,100,0.01,97.91,95.97,65.75,"DSP-1001660006536-C","DSP-1001660006536-C-B08"
"B09_4","CKDL240033248-1A_22HW3CLT4_L8",4271970,640795500,100,0.01,97.73,95.67,64.45,"DSP-1001660006536-C","DSP-1001660006536-C-B09"
"B10_4","CKDL240033248-1A_22HW3CLT4_L8",7681078,1152161700,100,0.01,97.4,95.28,64.99,"DSP-1001660006536-C","DSP-1001660006536-C-B10"
"B11_4","CKDL240033248-1A_22HW3CLT4_L8",1764722,264708300,100,0.01,97.53,95.65,63.91,"DSP-1001660006536-C","DSP-1001660006536-C-B11"
"B12_4","CKDL240033248-1A_22HW3CLT4_L8",12334298,1850144700,100,0.01,97.68,95.82,65.43,"DSP-1001660006536-C","DSP-1001660006536-C-B12"
"C01_4","CKDL240033248-1A_22HW3CLT4_L8",2597814,389672100,100,0.01,97.62,95.72,65.88,"DSP-1001660006536-C","DSP-1001660006536-C-C01"
"C02_4","CKDL240033248-1A_22HW3CLT4_L8",5812964,871944600,100,0.01,97.8,95.71,65.04,"DSP-1001660006536-C","DSP-1001660006536-C-C02"
"C03_4","CKDL240033248-1A_22HW3CLT4_L8",4660332,699049800,100,0.01,96.62,93.58,64.42,"DSP-1001660006536-C","DSP-1001660006536-C-C03"
"C04_4","CKDL240033248-1A_22HW3CLT4_L8",2653348,398002200,100,0.01,97.43,95.13,64.46,"DSP-1001660006536-C","DSP-1001660006536-C-C04"
"C05_4","CKDL240033248-1A_22HW3CLT4_L8",3439544,515931600,100,0.01,97.66,95.83,64.03,"DSP-1001660006536-C","DSP-1001660006536-C-C05"
"C06_4","CKDL240033248-1A_22HW3CLT4_L8",3027508,454126200,100,0.01,97.41,95.37,65.16,"DSP-1001660006536-C","DSP-1001660006536-C-C06"
"C07_4","CKDL240033248-1A_22HW3CLT4_L8",2704956,405743400,100,0.01,97.16,94.53,64.99,"DSP-1001660006536-C","DSP-1001660006536-C-C07"
"C08_4","CKDL240033248-1A_22HW3CLT4_L8",2682400,402360000,100,0.01,97.63,95.68,65.19,"DSP-1001660006536-C","DSP-1001660006536-C-C08"
"C09_4","CKDL240033248-1A_22HW3CLT4_L8",12050988,1807648200,100,0.01,97.62,95.51,64.84,"DSP-1001660006536-C","DSP-1001660006536-C-C09"
"C10_4","CKDL240033248-1A_22HW3CLT4_L8",33064588,4959688200,100,0.01,97.72,95.88,64.06,"DSP-1001660006536-C","DSP-1001660006536-C-C10"
"C11_4","CKDL240033248-1A_22HW3CLT4_L8",41538344,6230751600,100,0.01,96.47,93.15,64.7,"DSP-1001660006536-C","DSP-1001660006536-C-C11"
"C12_4","CKDL240033248-1A_22HW3CLT4_L8",25951702,3892755300,100,0.01,97.37,95.25,64.43,"DSP-1001660006536-C","DSP-1001660006536-C-C12"
"D01_4","CKDL240033248-1A_22HW3CLT4_L8",9722964,1458444600,100,0.01,97.62,95.83,64.43,"DSP-1001660006536-C","DSP-1001660006536-C-D01"
"D02_4","CKDL240033248-1A_22HW3CLT4_L8",14920896,2238134400,100,0.01,97.6,95.61,63.92,"DSP-1001660006536-C","DSP-1001660006536-C-D02"
"D03_4","CKDL240033248-1A_22HW3CLT4_L8",12200230,1830034500,100,0.01,97.6,95.79,64.14,"DSP-1001660006536-C","DSP-1001660006536-C-D03"
"D04_4","CKDL240033248-1A_22HW3CLT4_L8",10610822,1591623300,100,0.01,97.75,95.82,65.87,"DSP-1001660006536-C","DSP-1001660006536-C-D04"
"D05_4","CKDL240033248-1A_22HW3CLT4_L8",12993550,1949032500,100,0.01,97.61,95.73,65.79,"DSP-1001660006536-C","DSP-1001660006536-C-D05"
"D06_4","CKDL240033248-1A_22HW3CLT4_L8",5977270,896590500,100,0.01,97.61,95.77,64.76,"DSP-1001660006536-C","DSP-1001660006536-C-D06"
"D07_4","CKDL240033248-1A_22HW3CLT4_L8",14721662,2208249300,100,0.01,97.44,95.43,65.64,"DSP-1001660006536-C","DSP-1001660006536-C-D07"
"D08_4","CKDL240033248-1A_22HW3CLT4_L8",10135646,1520346900,100,0.01,97.7,95.93,65.05,"DSP-1001660006536-C","DSP-1001660006536-C-D08"
"D09_4","CKDL240033248-1A_22HW3CLT4_L8",6192046,928806900,100,0.01,97.62,95.52,65.63,"DSP-1001660006536-C","DSP-1001660006536-C-D09"
"D10_4","CKDL240033248-1A_22HW3CLT4_L8",14660146,2199021900,100,0.01,97.48,95.41,64.07,"DSP-1001660006536-C","DSP-1001660006536-C-D10"
"D11_4","CKDL240033248-1A_22HW3CLT4_L8",30061446,4509216900,100,0.01,97.94,95.92,64.28,"DSP-1001660006536-C","DSP-1001660006536-C-D11"
"D12_4","CKDL240033248-1A_22HW3CLT4_L8",29261422,4389213300,100,0.01,97.63,95.77,65.04,"DSP-1001660006536-C","DSP-1001660006536-C-D12"
"E01_4","CKDL240033248-1A_22HW3CLT4_L8",25023186,3753477900,100,0.01,96.44,93.01,64.75,"DSP-1001660006536-C","DSP-1001660006536-C-E01"
"E02_4","CKDL240033248-1A_22HW3CLT4_L8",14340610,2151091500,100,0.01,97.5,95.43,65.27,"DSP-1001660006536-C","DSP-1001660006536-C-E02"
"E03_4","CKDL240033248-1A_22HW3CLT4_L8",14621614,2193242100,100,0.01,97.81,95.88,65.31,"DSP-1001660006536-C","DSP-1001660006536-C-E03"
"E04_4","CKDL240033248-1A_22HW3CLT4_L8",18225932,2733889800,100,0.01,97.73,95.91,64.82,"DSP-1001660006536-C","DSP-1001660006536-C-E04"
"E05_4","CKDL240033248-1A_22HW3CLT4_L8",24625660,3693849000,100,0.01,97.67,95.71,64.77,"DSP-1001660006536-C","DSP-1001660006536-C-E05"
"E06_4","CKDL240033248-1A_22HW3CLT4_L8",4371954,655793100,100,0.01,97.24,95.09,65.59,"DSP-1001660006536-C","DSP-1001660006536-C-E06"
"E07_4","CKDL240033248-1A_22HW3CLT4_L8",4578834,686825100,100,0.01,97.62,95.79,64.28,"DSP-1001660006536-C","DSP-1001660006536-C-E07"
"E08_4","CKDL240033248-1A_22HW3CLT4_L8",4497108,674566200,100,0.01,97.65,95.5,64.43,"DSP-1001660006536-C","DSP-1001660006536-C-E08"
"E09_4","CKDL240033248-1A_22HW3CLT4_L8",15104630,2265694500,100,0.01,97.76,95.87,65.09,"DSP-1001660006536-C","DSP-1001660006536-C-E09"
"E10_4","CKDL240033248-1A_22HW3CLT4_L8",14648000,2197200000,100,0.01,97.7,95.83,64.73,"DSP-1001660006536-C","DSP-1001660006536-C-E10"
"E11_4","CKDL240033248-1A_22HW3CLT4_L8",26775804,4016370600,100,0.01,97.6,95.61,64.89,"DSP-1001660006536-C","DSP-1001660006536-C-E11"
"E12_4","CKDL240033248-1A_22HW3CLT4_L8",24959028,3743854200,100,0.01,97.54,95.56,65.36,"DSP-1001660006536-C","DSP-1001660006536-C-E12"
"F01_4","CKDL240033248-1A_22HW3CLT4_L8",4310704,646605600,100,0.01,97.62,95.36,64.15,"DSP-1001660006536-C","DSP-1001660006536-C-F01"
"F02_4","CKDL240033248-1A_22HW3CLT4_L8",7282260,1092339000,100,0.01,97.6,95.8,64.13,"DSP-1001660006536-C","DSP-1001660006536-C-F02"
"F03_4","CKDL240033248-1A_22HW3CLT4_L8",4312638,646895700,100,0.01,97.64,95.57,65.72,"DSP-1001660006536-C","DSP-1001660006536-C-F03"
"F04_4","CKDL240033248-1A_22HW3CLT4_L8",5028020,754203000,100,0.01,97.56,95.59,66,"DSP-1001660006536-C","DSP-1001660006536-C-F04"
"F05_4","CKDL240033248-1A_22HW3CLT4_L8",15434948,2315242200,100,0.01,97.33,95.24,65.31,"DSP-1001660006536-C","DSP-1001660006536-C-F05"
"F06_4","CKDL240033248-1A_22HW3CLT4_L8",18260964,2739144600,100,0.01,97.67,95.9,65.08,"DSP-1001660006536-C","DSP-1001660006536-C-F06"
"F07_4","CKDL240033248-1A_22HW3CLT4_L8",32419286,4862892900,100,0.01,97.58,95.73,64.46,"DSP-1001660006536-C","DSP-1001660006536-C-F07"
"F08_3","CKDL240033248-1A_22HW3CLT4_L8",37352136,5602820400,100,0.01,97.66,95.68,64.77,"DSP-1001660006526-A","DSP-1001660006526-A-F08"
"F09_3","CKDL240033248-1A_22HW3CLT4_L8",3233384,485007600,100,0.01,97.63,95.67,64.45,"DSP-1001660006526-A","DSP-1001660006526-A-F09"
"F10_3","CKDL240033248-1A_22HW3CLT4_L8",44005702,6600855300,100,0.01,96.65,93.16,65.34,"DSP-1001660006526-A","DSP-1001660006526-A-F10"
"F11_3","CKDL240033248-1A_22HW3CLT4_L8",63311518,9496727700,100,0.01,97.75,95.9,64.01,"DSP-1001660006526-A","DSP-1001660006526-A-F11"
"F12_3","CKDL240033248-1A_22HW3CLT4_L8",17007026,2551053900,100,0.01,97.72,95.8,66.35,"DSP-1001660006526-A","DSP-1001660006526-A-F12"
"G01_3","CKDL240033248-1A_22HW3CLT4_L8",3915042,587256300,100,0.01,97.81,95.81,64.5,"DSP-1001660006526-A","DSP-1001660006526-A-G01"
"G02_3","CKDL240033248-1A_22HW3CLT4_L8",8043434,1206515100,100,0.01,97.73,95.97,64.54,"DSP-1001660006526-A","DSP-1001660006526-A-G02"
"G03_3","CKDL240033248-1A_22HW3CLT4_L8",35969344,5395401600,100,0.01,97.33,95.18,65.84,"DSP-1001660006526-A","DSP-1001660006526-A-G03"
"G04_3","CKDL240033248-1A_22HW3CLT4_L8",23726756,3559013400,100,0.01,97.64,95.83,64.43,"DSP-1001660006526-A","DSP-1001660006526-A-G04"
"G05_3","CKDL240033248-1A_22HW3CLT4_L8",11500896,1725134400,100,0.01,97.56,95.44,65.75,"DSP-1001660006526-A","DSP-1001660006526-A-G05"
"G06_3","CKDL240033248-1A_22HW3CLT4_L8",18494618,2774192700,100,0.01,97.64,95.88,64.56,"DSP-1001660006526-A","DSP-1001660006526-A-G06"
"G07_3","CKDL240033248-1A_22HW3CLT4_L8",4616782,692517300,100,0.01,97.57,95.67,63.96,"DSP-1001660006526-A","DSP-1001660006526-A-G07"
"G08_2","CKDL240033248-1A_22HW3CLT4_L8",5661604,849240600,100,0.01,97.81,95.74,65.1,"DSP-1001660018729-A","DSP-1001660018729-A-G08"
"G09_2","CKDL240033248-1A_22HW3CLT4_L8",8970866,1345629900,100,0.01,97.65,95.88,63.73,"DSP-1001660018729-A","DSP-1001660018729-A-G09"
"G10_2","CKDL240033248-1A_22HW3CLT4_L8",11513250,1726987500,100,0.01,97.59,95.78,65.02,"DSP-1001660018729-A","DSP-1001660018729-A-G10"
"A01_4","CKDL240033240-1A_22HW3CLT4_L7",39102,5865300,100,0.03,89.2,77.59,71.97,"DSP-1001660006536-C","DSP-1001660006536-C-A01"
"A02_5","CKDL240033240-1A_22HW3CLT4_L7",21457138,3218570700,100,0.01,96.76,94.45,62.98,"DSP-1001660036877-D","DSP-1001660036877-D-A02"
"A03_5","CKDL240033240-1A_22HW3CLT4_L7",11590220,1738533000,100,0.01,97.23,94.95,64.36,"DSP-1001660036877-D","DSP-1001660036877-D-A03"
"A04_5","CKDL240033240-1A_22HW3CLT4_L7",42739508,6410926200,100,0.01,97,94.59,63.19,"DSP-1001660036877-D","DSP-1001660036877-D-A04"
"A05_5","CKDL240033240-1A_22HW3CLT4_L7",38228474,5734271100,100,0.01,97.63,95.42,65.06,"DSP-1001660036877-D","DSP-1001660036877-D-A05"
"A06_5","CKDL240033240-1A_22HW3CLT4_L7",34932,5239800,100,0.02,95.79,91.61,65.12,"DSP-1001660036877-D","DSP-1001660036877-D-A06"
"A07_5","CKDL240033240-1A_22HW3CLT4_L7",48975448,7346317200,100,0.01,96.45,93.99,62.9,"DSP-1001660036877-D","DSP-1001660036877-D-A07"
"A08_5","CKDL240033240-1A_22HW3CLT4_L7",3578,536700,100,0.01,96.52,94.13,62.89,"DSP-1001660036877-D","DSP-1001660036877-D-A08"
"A09_5","CKDL240033240-1A_22HW3CLT4_L7",33986204,5097930600,100,0.01,97.25,95.12,63.93,"DSP-1001660036877-D","DSP-1001660036877-D-A09"
"A10_5","CKDL240033240-1A_22HW3CLT4_L7",38017734,5702660100,100,0.01,96.91,94.78,63.16,"DSP-1001660036877-D","DSP-1001660036877-D-A10"
"A11_5","CKDL240033240-1A_22HW3CLT4_L7",34717988,5207698200,100,0.02,94.48,89.68,64.51,"DSP-1001660036877-D","DSP-1001660036877-D-A11"
"A12_5","CKDL240033240-1A_22HW3CLT4_L7",52433944,7865091600,100,0.01,96.63,94.33,63.19,"DSP-1001660036877-D","DSP-1001660036877-D-A12"
"B01_5","CKDL240033240-1A_22HW3CLT4_L7",172,25800,100,0.01,96.59,94.13,64.85,"DSP-1001660036877-D","DSP-1001660036877-D-B01"
"B02_5","CKDL240033240-1A_22HW3CLT4_L7",97935884,14690382600,100,0.01,96.73,94.35,63.62,"DSP-1001660036877-D","DSP-1001660036877-D-B02"
"B03_5","CKDL240033240-1A_22HW3CLT4_L7",62856534,9428480100,100,0.01,96.66,94.41,63.59,"DSP-1001660036877-D","DSP-1001660036877-D-B03"
"B04_5","CKDL240033240-1A_22HW3CLT4_L7",24998986,3749847900,100,0.01,96.38,93.4,63.34,"DSP-1001660036877-D","DSP-1001660036877-D-B04"
"B05_5","CKDL240033240-1A_22HW3CLT4_L7",8826064,1323909600,100,0.01,97.02,94.8,63.92,"DSP-1001660036877-D","DSP-1001660036877-D-B05"
"B06_5","CKDL240033240-1A_22HW3CLT4_L7",61915920,9287388000,100,0.01,96.59,94.3,63.96,"DSP-1001660036877-D","DSP-1001660036877-D-B06"
"B07_5","CKDL240033240-1A_22HW3CLT4_L7",37443568,5616535200,100,0.01,96.67,94.42,63.18,"DSP-1001660036877-D","DSP-1001660036877-D-B07"
"B08_5","CKDL240033240-1A_22HW3CLT4_L7",24283496,3642524400,100,0.01,96.7,94.09,64.36,"DSP-1001660036877-D","DSP-1001660036877-D-B08"
"B09_5","CKDL240033240-1A_22HW3CLT4_L7",182,27300,100,0.01,97.18,94.52,64.35,"DSP-1001660036877-D","DSP-1001660036877-D-B09"
"B10_5","CKDL240033240-1A_22HW3CLT4_L7",35787236,5368085400,100,0.01,96.67,94.22,64.18,"DSP-1001660036877-D","DSP-1001660036877-D-B10"
"B11_5","CKDL240033240-1A_22HW3CLT4_L7",34658100,5198715000,100,0.01,96.77,94.48,62.91,"DSP-1001660036877-D","DSP-1001660036877-D-B11"
"B12_5","CKDL240033240-1A_22HW3CLT4_L7",30067396,4510109400,100,0.01,97.17,94.94,64.66,"DSP-1001660036877-D","DSP-1001660036877-D-B12"
"C01_5","CKDL240033240-1A_22HW3CLT4_L7",22383912,3357586800,100,0.01,96.51,94.16,64.58,"DSP-1001660036877-D","DSP-1001660036877-D-C01"
"C02_5","CKDL240033240-1A_22HW3CLT4_L7",42334662,6350199300,100,0.01,97.61,95.42,64.38,"DSP-1001660036877-D","DSP-1001660036877-D-C02"
"C03_5","CKDL240033240-1A_22HW3CLT4_L7",36420282,5463042300,100,0.01,96.85,93.9,63.72,"DSP-1001660036877-D","DSP-1001660036877-D-C03"
"C04_5","CKDL240033240-1A_22HW3CLT4_L7",40914938,6137240700,100,0.01,97.19,94.77,63.67,"DSP-1001660036877-D","DSP-1001660036877-D-C04"
"C05_5","CKDL240033240-1A_22HW3CLT4_L7",32816560,4922484000,100,0.01,97.07,94.85,63.07,"DSP-1001660036877-D","DSP-1001660036877-D-C05"
"C06_5","CKDL240033240-1A_22HW3CLT4_L7",40863086,6129462900,100,0.01,96.81,94.49,64.19,"DSP-1001660036877-D","DSP-1001660036877-D-C06"
"C07_5","CKDL240033240-1A_22HW3CLT4_L7",44434430,6665164500,100,0.01,96.49,93.53,64.28,"DSP-1001660036877-D","DSP-1001660036877-D-C07"
"C08_5","CKDL240033240-1A_22HW3CLT4_L7",140,21000,100,0.01,97.55,95.33,64.39,"DSP-1001660036877-D","DSP-1001660036877-D-C08"
"C09_5","CKDL240033240-1A_22HW3CLT4_L7",4640646,696096900,100,0.01,97.24,94.86,63.98,"DSP-1001660036877-D","DSP-1001660036877-D-C09"
"C10_5","CKDL240033240-1A_22HW3CLT4_L7",42702438,6405365700,100,0.01,97.21,95.02,63.3,"DSP-1001660036877-D","DSP-1001660036877-D-C10"
"C11_5","CKDL240033240-1A_22HW3CLT4_L7",19285670,2892850500,100,0.02,95.46,91.66,63.87,"DSP-1001660036877-D","DSP-1001660036877-D-C11"
"C12_5","CKDL240033240-1A_22HW3CLT4_L7",850,127500,100,0.01,96.94,94.47,63.89,"DSP-1001660036877-D","DSP-1001660036877-D-C12"
"D01_5","CKDL240033240-1A_22HW3CLT4_L7",16321838,2448275700,100,0.01,96.7,94.43,63.17,"DSP-1001660036877-D","DSP-1001660036877-D-D01"
"D02_5","CKDL240033240-1A_22HW3CLT4_L7",18620390,2793058500,100,0.01,97.03,94.75,62.92,"DSP-1001660036877-D","DSP-1001660036877-D-D02"
"D03_5","CKDL240033240-1A_22HW3CLT4_L7",21177716,3176657400,100,0.01,96.76,94.52,62.91,"DSP-1001660036877-D","DSP-1001660036877-D-D03"
"D04_5","CKDL240033240-1A_22HW3CLT4_L7",15299218,2294882700,100,0.01,96.44,93.86,64.69,"DSP-1001660036877-D","DSP-1001660036877-D-D04"
"D05_5","CKDL240033240-1A_22HW3CLT4_L7",470388,70558200,100,0.04,87.74,75.34,70.78,"DSP-1001660036877-D","DSP-1001660036877-D-D05"
"D06_5","CKDL240033240-1A_22HW3CLT4_L7",10481074,1572161100,100,0.01,97.02,94.82,63.64,"DSP-1001660036877-D","DSP-1001660036877-D-D06"
"D07_5","CKDL240033240-1A_22HW3CLT4_L7",9070250,1360537500,100,0.01,96.82,94.37,64.83,"DSP-1001660036877-D","DSP-1001660036877-D-D07"
"D08_5","CKDL240033240-1A_22HW3CLT4_L7",26428180,3964227000,100,0.01,96.68,94.44,63.98,"DSP-1001660036877-D","DSP-1001660036877-D-D08"
"D09_5","CKDL240033240-1A_22HW3CLT4_L7",20433538,3065030700,100,0.01,96.19,93.39,64.35,"DSP-1001660036877-D","DSP-1001660036877-D-D09"
"D10_5","CKDL240033240-1A_22HW3CLT4_L7",18109960,2716494000,100,0.01,96.8,94.34,63.26,"DSP-1001660036877-D","DSP-1001660036877-D-D10"
"D11_5","CKDL240033240-1A_22HW3CLT4_L7",39785924,5967888600,100,0.01,97.74,95.64,63.76,"DSP-1001660036877-D","DSP-1001660036877-D-D11"
"D12_5","CKDL240033240-1A_22HW3CLT4_L7",38898524,5834778600,100,0.01,97.12,94.87,64.24,"DSP-1001660036877-D","DSP-1001660036877-D-D12"
"E01_5","CKDL240033240-1A_22HW3CLT4_L7",6154900,923235000,100,0.02,95.77,92.05,64.04,"DSP-1001660036877-D","DSP-1001660036877-D-E01"
"E02_5","CKDL240033240-1A_22HW3CLT4_L7",34837432,5225614800,100,0.01,97.17,94.88,64.36,"DSP-1001660036877-D","DSP-1001660036877-D-E02"
"E03_5","CKDL240033240-1A_22HW3CLT4_L7",31189210,4678381500,100,0.01,97.44,95.29,64.61,"DSP-1001660036877-D","DSP-1001660036877-D-E03"
"E04_5","CKDL240033240-1A_22HW3CLT4_L7",20674690,3101203500,100,0.01,97.12,94.94,63.87,"DSP-1001660036877-D","DSP-1001660036877-D-E04"
"E05_5","CKDL240033240-1A_22HW3CLT4_L7",22675970,3401395500,100,0.01,97.29,95.03,63.95,"DSP-1001660036877-D","DSP-1001660036877-D-E05"
"E06_5","CKDL240033240-1A_22HW3CLT4_L7",15302886,2295432900,100,0.01,96.48,93.88,64.3,"DSP-1001660036877-D","DSP-1001660036877-D-E06"
"E07_5","CKDL240033240-1A_22HW3CLT4_L7",17701040,2655156000,100,0.01,97.11,94.89,63.21,"DSP-1001660036877-D","DSP-1001660036877-D-E07"
"E08_5","CKDL240033240-1A_22HW3CLT4_L7",21082118,3162317700,100,0.01,97.61,95.47,63.39,"DSP-1001660036877-D","DSP-1001660036877-D-E08"
"E09_5","CKDL240033240-1A_22HW3CLT4_L7",22012716,3301907400,100,0.01,97.33,95.18,64.28,"DSP-1001660036877-D","DSP-1001660036877-D-E09"
"E10_5","CKDL240033240-1A_22HW3CLT4_L7",9083008,1362451200,100,0.01,97.04,94.83,63.85,"DSP-1001660036877-D","DSP-1001660036877-D-E10"
"A01_5","CKDL240033241-1A_22HW3CLT4_L7",330062,49509300,100,0.04,89.12,77.46,68.13,"DSP-1001660036877-D","DSP-1001660036877-D-A01"
"A02_6","CKDL240033241-1A_22HW3CLT4_L7",13469310,2020396500,100,0.01,97.58,95.38,64.46,"DSP-1001660006525-B","DSP-1001660006525-B-A02"
"A03_6","CKDL240033241-1A_22HW3CLT4_L7",6447734,967160100,100,0.01,96.81,94.61,64.07,"DSP-1001660006525-B","DSP-1001660006525-B-A03"
"A04_6","CKDL240033241-1A_22HW3CLT4_L7",17551176,2632676400,100,0.01,96.76,94.56,64.41,"DSP-1001660006525-B","DSP-1001660006525-B-A04"
"A05_6","CKDL240033241-1A_22HW3CLT4_L7",33184524,4977678600,100,0.01,96.62,94.33,64.03,"DSP-1001660006525-B","DSP-1001660006525-B-A05"
"A06_6","CKDL240033241-1A_22HW3CLT4_L7",32065074,4809761100,100,0.01,97.18,95.09,63.29,"DSP-1001660006525-B","DSP-1001660006525-B-A06"
"A07_6","CKDL240033241-1A_22HW3CLT4_L7",21143952,3171592800,100,0.01,96.5,93.61,64.39,"DSP-1001660006525-B","DSP-1001660006525-B-A07"
"A08_6","CKDL240033241-1A_22HW3CLT4_L7",16561604,2484240600,100,0.01,97.08,94.6,64.73,"DSP-1001660006525-B","DSP-1001660006525-B-A08"
"A09_6","CKDL240033241-1A_22HW3CLT4_L7",38231810,5734771500,100,0.01,97.59,95.45,64.45,"DSP-1001660006525-B","DSP-1001660006525-B-A09"
"A10_6","CKDL240033241-1A_22HW3CLT4_L7",13967726,2095158900,100,0.01,96.59,94.37,63.64,"DSP-1001660006525-B","DSP-1001660006525-B-A10"
"A11_6","CKDL240033241-1A_22HW3CLT4_L7",2009592,301438800,100,0.01,96.87,94.51,64.03,"DSP-1001660006525-B","DSP-1001660006525-B-A11"
"A12_6","CKDL240033241-1A_22HW3CLT4_L7",2761970,414295500,100,0.01,96.77,94.62,62.92,"DSP-1001660006525-B","DSP-1001660006525-B-A12"
"B01_6","CKDL240033241-1A_22HW3CLT4_L7",234,35100,100,0.01,96.62,93.72,65.57,"DSP-1001660006525-B","DSP-1001660006525-B-B01"
"B02_6","CKDL240033241-1A_22HW3CLT4_L7",2921570,438235500,100,0.01,97.22,94.99,63.65,"DSP-1001660006525-B","DSP-1001660006525-B-B02"
"B03_6","CKDL240033241-1A_22HW3CLT4_L7",2457716,368657400,100,0.01,97.2,94.98,64.05,"DSP-1001660006525-B","DSP-1001660006525-B-B03"
"B04_6","CKDL240033241-1A_22HW3CLT4_L7",2244042,336606300,100,0.01,96.63,94.31,63.46,"DSP-1001660006525-B","DSP-1001660006525-B-B04"
"B05_6","CKDL240033241-1A_22HW3CLT4_L7",1650816,247622400,100,0.01,97.25,95.07,63,"DSP-1001660006525-B","DSP-1001660006525-B-B05"
"B06_6","CKDL240033241-1A_22HW3CLT4_L7",1211288,181693200,100,0.01,96.48,93.87,64.29,"DSP-1001660006525-B","DSP-1001660006525-B-B06"
"B07_6","CKDL240033241-1A_22HW3CLT4_L7",1144290,171643500,100,0.01,96.63,94.08,64.22,"DSP-1001660006525-B","DSP-1001660006525-B-B07"
"B08_6","CKDL240033241-1A_22HW3CLT4_L7",3634544,545181600,100,0.01,96.68,94.38,65.11,"DSP-1001660006525-B","DSP-1001660006525-B-B08"
"B09_6","CKDL240033241-1A_22HW3CLT4_L7",1463326,219498900,100,0.01,97.05,94.54,65.17,"DSP-1001660006525-B","DSP-1001660006525-B-B09"
"B10_6","CKDL240033241-1A_22HW3CLT4_L7",3736012,560401800,100,0.01,96.94,94.65,64.92,"DSP-1001660006525-B","DSP-1001660006525-B-B10"
"B11_6","CKDL240033241-1A_22HW3CLT4_L7",59331516,8899727400,100,0.01,97.27,95.18,63.99,"DSP-1001660006525-B","DSP-1001660006525-B-B11"
"B12_6","CKDL240033241-1A_22HW3CLT4_L7",10867936,1630190400,100,0.01,95.99,92.89,64.45,"DSP-1001660006525-B","DSP-1001660006525-B-B12"
"C01_6","CKDL240033241-1A_22HW3CLT4_L7",5612830,841924500,100,0.02,95.57,91.93,64.48,"DSP-1001660006525-B","DSP-1001660006525-B-C01"
"C02_6","CKDL240033241-1A_22HW3CLT4_L7",6508126,976218900,100,0.01,97.63,95.5,63.79,"DSP-1001660006525-B","DSP-1001660006525-B-C02"
"C03_6","CKDL240033241-1A_22HW3CLT4_L7",31888816,4783322400,100,0.01,96.49,94.01,65.02,"DSP-1001660006525-B","DSP-1001660006525-B-C03"
